revision,file,line,token,context
mainnet,crates/sui-types/src/transaction_deny_rules.rs,317,assert!,"bled = true; b.zklogin_disabled_providers.insert(""Google"".to_string()); a.merge(&b); assert_eq!(a.object_deny_list.len(), 2); assert!(a.object_deny_list.contains(&ObjectID::from_single_byte(1))); assert!(a.object_deny_list.contains(&ObjectID::from_single_byte(3))); assert_eq!(a.address_deny_list.len(), 1); assert!(a.package_publish_disabled"
mainnet,crates/sui-types/src/transaction_deny_rules.rs,318,assert!,"; a.merge(&b); assert_eq!(a.object_deny_list.len(), 2); assert!(a.object_deny_list.contains(&ObjectID::from_single_byte(1))); assert!(a.object_deny_list.contains(&ObjectID::from_single_byte(3))); assert_eq!(a.address_deny_list.len(), 1); assert!(a.package_publish_disabled); assert!(a.user_transaction_disabled); assert!(a.zklogin_dis"
mainnet,crates/sui-types/src/transaction_deny_rules.rs,320,assert!,":from_single_byte(1))); assert!(a.object_deny_list.contains(&ObjectID::from_single_byte(3))); assert_eq!(a.address_deny_list.len(), 1); assert!(a.package_publish_disabled); assert!(a.user_transaction_disabled); assert!(a.zklogin_disabled_providers.contains(""Google"")); } #[test] fn entry_count_sums_set_lengths() { let mut r = TransactionD"
mainnet,crates/sui-types/src/transaction_deny_rules.rs,321,assert!,"ect_deny_list.contains(&ObjectID::from_single_byte(3))); assert_eq!(a.address_deny_list.len(), 1); assert!(a.package_publish_disabled); assert!(a.user_transaction_disabled); assert!(a.zklogin_disabled_providers.contains(""Google"")); } #[test] fn entry_count_sums_set_lengths() { let mut r = TransactionDenyRules::default(); r.object_deny_li"
mainnet,crates/sui-types/src/transaction_deny_rules.rs,322,assert!,"byte(3))); assert_eq!(a.address_deny_list.len(), 1); assert!(a.package_publish_disabled); assert!(a.user_transaction_disabled); assert!(a.zklogin_disabled_providers.contains(""Google"")); } #[test] fn entry_count_sums_set_lengths() { let mut r = TransactionDenyRules::default(); r.object_deny_list.insert(ObjectID::from_single_byte(1));"
mainnet,crates/sui-types/src/transaction_deny_rules.rs,353,assert!,(); smaller .object_deny_list .insert(ObjectID::from_single_byte(1)); smaller.package_publish_disabled = true; assert!(larger.is_superset_of(&smaller)); assert!(larger.is_superset_of(&TransactionDenyRules::default())); assert!(!smaller.is_superset_of(&larger)); // A boolean set in `other` but not `self` breaks the superset r
mainnet,crates/sui-types/src/transaction_deny_rules.rs,354,assert!,.insert(ObjectID::from_single_byte(1)); smaller.package_publish_disabled = true; assert!(larger.is_superset_of(&smaller)); assert!(larger.is_superset_of(&TransactionDenyRules::default())); assert!(!smaller.is_superset_of(&larger)); // A boolean set in `other` but not `self` breaks the superset relation. let mut other_bool = TransactionD
mainnet,crates/sui-types/src/transaction_deny_rules.rs,355,assert!,e_publish_disabled = true; assert!(larger.is_superset_of(&smaller)); assert!(larger.is_superset_of(&TransactionDenyRules::default())); assert!(!smaller.is_superset_of(&larger)); // A boolean set in `other` but not `self` breaks the superset relation. let mut other_bool = TransactionDenyRules::default(); other_bool .object_deny_list
mainnet,crates/sui-types/src/transaction_deny_rules.rs,363,assert!,other_bool .object_deny_list .insert(ObjectID::from_single_byte(1)); other_bool.user_transaction_disabled = true; assert!(!larger.is_superset_of(&other_bool)); } #[test] fn deny_element_kind_matches_variant() { let mut rules = TransactionDenyRules::default(); rules.object_deny_list.insert(ObjectID::from_single_byte(1));
mainnet,crates/sui-types/src/transaction_deny_rules.rs,420,assert!,"DenyRules::MAX_ZKLOGIN_PROVIDER_LENGTH ) }) .collect(), ..Default::default() }; assert!(rules.entry_count() < TransactionDenyRules::MAX_SHARE_ENTRIES); let err = rules.check_share_limits().unwrap_err(); assert!(err.contains(""serialized size""), ""{err}""); // A maximal all-ID config stays within t"
