revision,file,line,function,params,return,ops,cap_like_param
mainnet,crates/sui-framework/packages/bridge/sources/bridge.move,373,claim_token,"bridge: &mut Bridge, clock: &Clock, source_chain: u8, bridge_seq_num: u64, ctx: &mut TxContext,",Coin<T>,claim,False
mainnet,crates/sui-framework/packages/bridge/sources/bridge.move,394,claim_and_transfer_token,"bridge: &mut Bridge, clock: &Clock, source_chain: u8, bridge_seq_num: u64, ctx: &mut TxContext,",,public_transfer,False
mainnet,crates/sui-framework/packages/sui-framework/sources/address_alias.move,67,enable,"address_alias_state: &mut AddressAliasState, ctx: &TxContext",,claim,False
mainnet,crates/sui-framework/packages/sui-framework/sources/registries/display_registry.move,99,claim,"display: &mut Display<T>, legacy: LegacyDisplay<T>, ctx: &mut TxContext,",DisplayCap<T>,destroy,False
mainnet,crates/sui-framework/packages/sui-framework/sources/registries/display_registry.move,149,migrate_v1_to_v2,"registry: &mut DisplayRegistry, legacy: LegacyDisplay<T>, ctx: &mut TxContext,","(Display<T>, DisplayCap<T>)",destroy,False
mainnet,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,174,new_currency,"registry: &mut CoinRegistry, decimals: u8, symbol: String, name: String, description: String, icon_url: String, ctx: &mut TxContext,","(CurrencyInitializer<T>, TreasuryCap<T>)",claim,False
mainnet,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,353,finalize_registration,"registry: &mut CoinRegistry, currency: Receiving<Currency<T>>, _ctx: &mut TxContext,",,"claim,share_object",False
mainnet,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,442,migrate_legacy_metadata,"registry: &mut CoinRegistry, legacy: &CoinMetadata<T>, _ctx: &mut TxContext,",,share_object,False
mainnet,crates/sui-framework/packages/sui-system/sources/staking_pool.move,157,request_withdraw_stake,"pool: &mut StakingPool, staked_sui: StakedSui, ctx: &TxContext,",Balance<SUI>,withdraw,False
mainnet,crates/sui-framework/packages/sui-system/sources/staking_pool.move,568,split_staked_sui,"stake: &mut StakedSui, split_amount: u64, ctx: &mut TxContext",,transfer::transfer,False
mainnet,crates/sui-framework/packages/sui-system/sources/sui_system.move,229,request_add_stake,"wrapper: &mut SuiSystemState, stake: Coin<SUI>, validator_address: address, ctx: &mut TxContext,",,public_transfer,False
mainnet,crates/sui-framework/packages/sui-system/sources/sui_system.move,251,request_add_stake_mul_coin,"wrapper: &mut SuiSystemState, stakes: vector<Coin<SUI>>, stake_amount: option::Option<u64>, validator_address: address, ctx: &mut TxContext,",,public_transfer,False
mainnet,crates/sui-framework/packages/sui-system/sources/sui_system.move,267,request_withdraw_stake,"wrapper: &mut SuiSystemState, staked_sui: StakedSui, ctx: &mut TxContext,",,public_transfer,False
main,crates/sui-framework/packages/bridge/sources/bridge.move,373,claim_token,"bridge: &mut Bridge, clock: &Clock, source_chain: u8, bridge_seq_num: u64, ctx: &mut TxContext,",Coin<T>,claim,False
main,crates/sui-framework/packages/bridge/sources/bridge.move,394,claim_and_transfer_token,"bridge: &mut Bridge, clock: &Clock, source_chain: u8, bridge_seq_num: u64, ctx: &mut TxContext,",,public_transfer,False
main,crates/sui-framework/packages/sui-framework/sources/address_alias.move,67,enable,"address_alias_state: &mut AddressAliasState, ctx: &TxContext",,claim,False
main,crates/sui-framework/packages/sui-framework/sources/registries/display_registry.move,99,claim,"display: &mut Display<T>, legacy: LegacyDisplay<T>, ctx: &mut TxContext,",DisplayCap<T>,destroy,False
main,crates/sui-framework/packages/sui-framework/sources/registries/display_registry.move,149,migrate_v1_to_v2,"registry: &mut DisplayRegistry, legacy: LegacyDisplay<T>, ctx: &mut TxContext,","(Display<T>, DisplayCap<T>)",destroy,False
main,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,174,new_currency,"registry: &mut CoinRegistry, decimals: u8, symbol: String, name: String, description: String, icon_url: String, ctx: &mut TxContext,","(CurrencyInitializer<T>, TreasuryCap<T>)",claim,False
main,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,353,finalize_registration,"registry: &mut CoinRegistry, currency: Receiving<Currency<T>>, _ctx: &mut TxContext,",,"claim,share_object",False
main,crates/sui-framework/packages/sui-framework/sources/registries/coin_registry.move,442,migrate_legacy_metadata,"registry: &mut CoinRegistry, legacy: &CoinMetadata<T>, _ctx: &mut TxContext,",,share_object,False
main,crates/sui-framework/packages/sui-system/sources/staking_pool.move,157,request_withdraw_stake,"pool: &mut StakingPool, staked_sui: StakedSui, ctx: &TxContext,",Balance<SUI>,withdraw,False
main,crates/sui-framework/packages/sui-system/sources/staking_pool.move,568,split_staked_sui,"stake: &mut StakedSui, split_amount: u64, ctx: &mut TxContext",,transfer::transfer,False
main,crates/sui-framework/packages/sui-system/sources/sui_system.move,229,request_add_stake,"wrapper: &mut SuiSystemState, stake: Coin<SUI>, validator_address: address, ctx: &mut TxContext,",,public_transfer,False
main,crates/sui-framework/packages/sui-system/sources/sui_system.move,251,request_add_stake_mul_coin,"wrapper: &mut SuiSystemState, stakes: vector<Coin<SUI>>, stake_amount: option::Option<u64>, validator_address: address, ctx: &mut TxContext,",,public_transfer,False
main,crates/sui-framework/packages/sui-system/sources/sui_system.move,267,request_withdraw_stake,"wrapper: &mut SuiSystemState, staked_sui: StakedSui, ctx: &mut TxContext,",,public_transfer,False
