revision,file,line,function,params,return
mainnet,crates/sui-framework/packages/sui-framework/sources/coin.move,135,balance_mut,coin: &mut Coin<T>,&mut Balance<T>
mainnet,crates/sui-framework/packages/sui-framework/sources/accumulator.move,34,root_id_mut,accumulator_root: &mut AccumulatorRoot,&mut UID
mainnet,crates/sui-framework/packages/sui-framework/sources/dynamic_field.move,257,field_info_mut,"object: &mut UID, name: Name,","(&mut UID, address)"
mainnet,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,485,uid_mut_internal,self: &mut Kiosk,&mut UID
mainnet,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,525,uid_mut_as_owner,"self: &mut Kiosk, cap: &KioskOwnerCap",&mut UID
mainnet,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,541,uid_mut,self: &mut Kiosk,&mut UID
mainnet,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,562,profits_mut,"self: &mut Kiosk, cap: &KioskOwnerCap",&mut Balance<SUI>
mainnet,crates/sui-framework/packages/sui-framework/sources/kiosk/transfer_policy.move,267,uid_mut_as_owner,"self: &mut TransferPolicy<T>, cap: &TransferPolicyCap<T>",&mut UID
main,crates/sui-framework/packages/sui-framework/sources/coin.move,135,balance_mut,coin: &mut Coin<T>,&mut Balance<T>
main,crates/sui-framework/packages/sui-framework/sources/accumulator.move,34,root_id_mut,accumulator_root: &mut AccumulatorRoot,&mut UID
main,crates/sui-framework/packages/sui-framework/sources/dynamic_field.move,257,field_info_mut,"object: &mut UID, name: Name,","(&mut UID, address)"
main,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,485,uid_mut_internal,self: &mut Kiosk,&mut UID
main,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,525,uid_mut_as_owner,"self: &mut Kiosk, cap: &KioskOwnerCap",&mut UID
main,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,541,uid_mut,self: &mut Kiosk,&mut UID
main,crates/sui-framework/packages/sui-framework/sources/kiosk/kiosk.move,562,profits_mut,"self: &mut Kiosk, cap: &KioskOwnerCap",&mut Balance<SUI>
main,crates/sui-framework/packages/sui-framework/sources/kiosk/transfer_policy.move,267,uid_mut_as_owner,"self: &mut TransferPolicy<T>, cap: &TransferPolicyCap<T>",&mut UID
